--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMIP6
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Version 2.2
Date modified: 2022-06-15
Contact: Mark D. Zelinka [zelinka1@llnl.gov]
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MODEL               VARIANT        ECS      ERF2x       PL       PL*        LR       LR*        WV        RH       ALB       CLD      SWCLD     LWCLD      NET       ERR    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACCESS-CM2          r1i1p1f1       4.66      3.43     -3.29     -1.91     -0.47     -0.05      1.72     -0.07      0.39      0.76      0.96     -0.20     -0.74      0.15   
ACCESS-ESM1-5       r1i1p1f1       3.88      2.83     -3.27     -1.91     -0.30      0.02      1.70      0.02      0.46      0.56      0.43      0.13     -0.73      0.12   
AWI-CM-1-1-MR       r1i1p1f1       3.16      3.63     -3.23     -1.88     -0.41     -0.03      1.77      0.03      0.46      0.22     -0.31      0.53     -1.15      0.04   
BCC-CSM2-MR         r1i1p1f1       3.02      3.11     -3.31     -1.95     -0.36      0.01      1.67     -0.07      0.43      0.51      0.16      0.35     -1.03      0.04   
BCC-ESM1            r1i1p1f1       3.25      3.01     -3.29     -1.94     -0.35      0.01      1.66     -0.05      0.47      0.52      0.02      0.50     -0.92      0.07   
CAMS-CSM1-0         r1i1p1f1       2.29      4.17     -3.31     -1.91     -0.62     -0.05      2.01      0.05      0.26     -0.36     -0.72      0.36     -1.82      0.19   
CESM2               r1i1p1f1       5.15      3.27     -3.34     -1.93     -0.53     -0.08      1.87      0.00      0.40      0.96      0.79      0.17     -0.63      0.01   
CESM2-FV2           r1i1p1f1       5.16      2.86     -3.30     -1.92     -0.51     -0.07      1.74     -0.07      0.43      1.06      0.95      0.11     -0.55      0.03   
CESM2-WACCM         r1i1p1f1       4.68      3.30     -3.34     -1.94     -0.54     -0.07      1.86     -0.01      0.40      1.17      1.05      0.12     -0.71     -0.25   
CESM2-WACCM-FV2     r1i1p1f1       4.80      2.92     -3.31     -1.93     -0.52     -0.07      1.75     -0.09      0.41      1.13      0.97      0.15     -0.61     -0.06   
CIESM               r1i1p1f1       5.63      3.86     -3.25     -1.89     -0.35     -0.01      1.60     -0.10      0.29      0.81      0.68      0.13     -0.69      0.21   
CMCC-CM2-SR5        r1i1p1f1       3.55      3.79     -3.32     -1.92     -0.47     -0.04      1.82     -0.01      0.34      0.52      0.48      0.04     -1.07      0.04   
CMCC-ESM2           r1i1p1f1       3.58      3.75     -3.31     -1.92     -0.47     -0.04      1.84      0.02      0.37      0.50      0.45      0.05     -1.05      0.03   
CNRM-CM6-1          r1i1p1f2       4.90      3.64     -3.29     -1.92     -0.42     -0.01      1.75     -0.02      0.53      0.55     -0.02      0.57     -0.74      0.13   
