--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CMIP6 (non-flagship variants)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MODEL          VARIANT           ECS      ERF2x       PL       PL*        LR       LR*        WV        RH       ALB       CLD      SWCLD     LWCLD      NET       ERR    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CAMS-CSM1-0    r2i1p1f1          2.29      4.19     -3.30     -1.91     -0.57     -0.03      1.96      0.04      0.26     -0.36     -0.70      0.34     -1.83      0.17   
CNRM-ESM2-1    r3i1p1f2          4.69      3.05     -3.30     -1.91     -0.57     -0.07      1.90      0.01      0.49      0.56      0.01      0.55     -0.65      0.28   
CanESM5        r1i1p2f1          5.62      3.64     -3.32     -1.94     -0.59     -0.09      1.96      0.07      0.48      0.79     -0.02      0.81     -0.65      0.04   
FGOALS-f3-L    r2i1p1f1          3.00      4.19     -3.21     -1.88     -0.41     -0.01      1.69     -0.04      0.40     -0.04     -0.25      0.20     -1.40      0.18   
FGOALS-f3-L    r3i1p1f1          2.98      4.19     -3.21     -1.88     -0.43     -0.02      1.70     -0.04      0.40     -0.05     -0.25      0.20     -1.41      0.18   
GISS-E2-1-G    r102i1p1f1        2.64      4.20     -3.28     -1.85     -1.18     -0.26      2.31     -0.03      0.25     -0.05     -0.69      0.64     -1.59      0.35   
GISS-E2-1-G    r1i1p3f1          2.60      3.81     -3.29     -1.86     -1.16     -0.25      2.44      0.10      0.27     -0.10     -0.93      0.83     -1.47      0.37   
GISS-E2-1-G    r1i1p5f1          2.61      4.14     -3.29     -1.84     -1.35     -0.32      2.53      0.05      0.25     -0.13     -0.92      0.79     -1.59      0.40   
GISS-E2-1-H    r1i1p3f1          3.13      3.40     -3.20     -1.89     -0.50     -0.03      1.84      0.06      0.47     -0.05     -0.59      0.54     -1.09      0.35   
MRI-ESM2-0     r10i1p1f1         3.13      3.41     -3.27     -1.92     -0.50     -0.04      1.75     -0.07      0.58      0.39      0.12      0.28     -1.09     -0.03   
MRI-ESM2-0     r13i1p1f1         3.06      3.61     -3.29     -1.92     -0.56     -0.06      1.79     -0.08      0.54      0.38      0.09      0.28     -1.18     -0.03   
MRI-ESM2-0     r1i2p1f1          3.11      3.47     -3.29     -1.92     -0.55     -0.06      1.78     -0.08      0.59      0.43      0.12      0.31     -1.12     -0.08   
MRI-ESM2-0     r4i1p1f1          3.11      3.47     -3.29     -1.92     -0.53     -0.05      1.78     -0.07      0.57      0.39      0.11      0.28     -1.12     -0.03   
MRI-ESM2-0     r7i1p1f1          3.15      3.40     -3.29     -1.92     -0.53     -0.05      1.79     -0.07      0.57      0.42      0.11      0.31     -1.08     -0.04   
